iter	Passed	Remaining
0	144	144733
1	146	72864
2	147	48903
3	148	36920
4	149	29733
5	150	24940
6	151	21516
7	152	18945
8	153	16955
9	155	15371
10	156	14062
11	158	13018
12	159	12124
13	161	11346
14	162	10667
15	163	10066
16	165	9548
17	166	9085
18	167	8662
19	168	8274
20	169	7924
21	171	7605
22	172	7323
23	173	7061
24	174	6814
25	175	6583
26	176	6370
27	177	6172
28	178	5988
29	179	5816
30	180	5655
31	182	5509
32	183	5369
33	184	5237
34	185	5118
35	186	5005
36	197	5146
37	199	5043
38	201	4952
39	203	4875
40	204	4787
41	206	4699
42	207	4619
43	208	4538
44	212	4518
45	214	4452
46	216	4384
47	217	4316
48	219	4256
49	221	4199
50	225	4193
51	226	4131
52	228	4074
53	229	4017
54	230	3962
55	231	3910
56	233	3858
57	235	3830
58	237	3784
59	238	3739
60	239	3694
61	242	3670
62	243	3627
63	245	3587
64	246	3548
65	248	3509
66	249	3472
67	250	3435
68	252	3400
69	253	3363
70	254	3328
71	255	3294
72	256	3263
73	258	3232
74	259	3199
75	260	3169
76	261	3138
77	263	3109
78	264	3080
79	265	3053
80	266	3024
81	267	2997
82	268	2966
83	269	2943
84	271	2918
85	272	2893
86	273	2868
87	274	2846
88	275	2823
89	276	2799
90	278	2777
91	279	2756
92	280	2734
93	281	2713
94	282	2692
95	283	2671
96	284	2651
97	285	2630
98	286	2610
99	287	2591
100	289	2575
101	290	2558
102	291	2542
103	293	2524
104	294	2506
105	295	2489
106	296	2472
107	297	2456
108	298	2440
109	299	2425
110	300	2409
111	301	2394
112	303	2379
113	304	2365
114	305	2350
115	306	2335
116	307	2320
117	308	2305
118	309	2292
119	310	2278
120	311	2265
121	313	2252
122	314	2241
123	315	2228
124	316	2216
125	317	2204
126	318	2190
127	319	2178
128	320	2166
129	322	2154
130	323	2143
131	324	2132
132	325	2121
133	326	2110
134	327	2099
135	328	2088
136	329	2077
137	331	2067
138	332	2057
139	333	2049
140	334	2040
141	336	2030
142	337	2022
143	338	2013
144	339	2003
145	341	1994
146	342	1985
147	343	1975
148	344	1967
149	345	1958
150	346	1949
151	347	1940
152	349	1932
153	350	1924
154	351	1915
155	352	1907
156	353	1899
157	354	1890
158	355	1882
159	357	1876
160	358	1866
161	359	1858
162	360	1851
163	361	1843
164	363	1838
165	364	1832
166	365	1824
167	366	1817
168	368	1810
169	369	1803
170	370	1796
171	371	1789
172	372	1782
173	374	1775
174	375	1768
175	376	1762
176	377	1755
177	378	1747
178	379	1741
179	380	1734
180	381	1727
181	382	1720
182	384	1715
183	385	1708
184	386	1702
185	387	1695
186	388	1689
187	389	1683
188	391	1677
189	392	1671
190	393	1666
191	394	1660
192	395	1654
193	396	1648
194	398	1643
195	399	1637
196	400	1631
197	401	1625
198	402	1620
199	403	1614
200	404	1609
201	405	1603
202	406	1597
203	408	1592
204	409	1586
205	410	1581
206	412	1578
207	413	1574
208	414	1568
209	415	1563
210	416	1558
