iter	Passed	Remaining
0	143	142862
1	144	71947
2	145	48298
3	146	36456
4	147	29344
5	148	24603
6	149	21216
7	150	18710
8	151	16735
9	153	15154
10	154	13866
11	155	12785
12	156	11868
13	157	11085
14	158	10405
15	159	9808
16	160	9281
17	161	8815
18	162	8400
19	163	8022
20	164	7680
21	165	7378
22	167	7100
23	168	6842
24	169	6604
25	170	6384
26	171	6181
27	172	5993
28	173	5815
29	174	5651
30	175	5500
31	177	5354
32	178	5218
33	179	5089
34	180	4969
35	181	4857
36	182	4749
37	183	4647
38	184	4549
39	185	4455
40	186	4367
41	187	4284
42	188	4205
43	190	4129
44	191	4055
45	192	3985
46	193	3917
47	194	3852
48	195	3792
49	196	3734
50	197	3677
51	198	3622
52	199	3569
53	200	3517
54	201	3468
55	202	3420
56	203	3374
57	205	3329
58	206	3286
59	207	3244
60	208	3204
61	209	3164
62	210	3129
63	211	3093
64	212	3057
65	213	3023
66	214	2988
67	215	2956
68	216	2926
69	217	2895
70	218	2865
71	220	2835
72	221	2807
73	222	2779
74	223	2752
75	224	2726
76	225	2701
77	226	2677
78	227	2653
79	228	2629
80	229	2606
81	230	2583
82	231	2556
83	232	2534
84	233	2513
85	234	2492
86	235	2472
87	236	2452
88	237	2433
89	238	2414
90	239	2395
91	241	2378
92	242	2360
93	243	2343
94	244	2326
95	245	2310
96	246	2293
97	247	2277
98	248	2260
99	249	2244
100	250	2229
101	251	2215
102	252	2200
103	253	2186
104	254	2172
105	256	2159
106	257	2145
107	258	2131
108	259	2118
109	260	2106
110	261	2093
111	262	2080
112	263	2068
113	264	2055
114	265	2043
115	266	2031
116	267	2018
117	268	2006
118	269	1995
119	270	1985
120	271	1974
121	272	1962
122	273	1952
123	274	1942
124	276	1932
125	277	1922
126	277	1910
127	279	1900
128	280	1891
129	281	1882
130	282	1872
131	283	1862
132	284	1853
133	285	1844
134	286	1835
135	287	1827
136	288	1818
137	289	1809
138	290	1801
139	291	1792
140	292	1784
141	293	1773
142	294	1765
143	295	1757
144	296	1749
145	297	1741
146	298	1733
147	299	1726
148	300	1718
149	301	1711
150	303	1703
151	304	1696
152	305	1689
153	306	1682
154	307	1675
155	308	1668
156	309	1661
157	310	1654
158	311	1647
159	312	1640
160	313	1632
161	314	1625
162	315	1620
163	316	1615
164	318	1609
165	319	1603
166	320	1597
167	321	1591
168	322	1584
169	323	1579
170	324	1573
171	325	1567
172	326	1561
173	327	1555
174	328	1549
175	329	1544
176	331	1539
177	332	1534
178	333	1529
179	334	1523
180	335	1518
181	336	1512
182	337	1507
183	338	1501
184	339	1496
185	340	1490
186	341	1485
187	342	1480
188	343	1475
189	345	1470
190	346	1465
191	347	1460
192	348	1455
193	349	1450
194	350	1446
195	351	1441
196	352	1436
197	353	1431
198	354	1426
199	355	1421
200	356	1417
201	357	1413
202	359	1409
203	360	1406
204	361	1402
205	362	1398
206	364	1394
207	365	1390
208	366	1386
209	367	1382
210	368	1378
211	370	1375
212	371	1373
213	373	1370
214	374	1368
215	376	1367
216	379	1367
217	380	1365
218	381	1362
219	383	1358
220	384	1354
221	385	1351
222	386	1347
223	388	1344
224	389	1341
225	390	1338
226	391	1334
227	392	1330
228	393	1326
229	395	1322
230	396	1318
231	397	1315
232	398	1312
233	399	1308
234	400	1304
235	401	1300
236	402	1296
237	403	1293
238	405	1289
239	406	1286
240	407	1282
241	408	1278
242	409	1274
243	410	1271
244	411	1267
245	412	1264
246	413	1261
247	414	1258
248	416	1254
249	417	1251
250	418	1248
251	419	1245
252	420	1242
253	421	1238
254	422	1235
255	423	1231
256	424	1228
257	426	1225
258	427	1221
259	428	1218
260	429	1215
261	430	1212
262	431	1209
263	432	1205
264	433	1202
265	434	1199
266	435	1196
267	436	1193
268	438	1190
269	439	1187
270	440	1183
271	441	1180
272	442	1178
273	443	1174
274	444	1171
275	445	1168
276	446	1165
277	447	1162
278	448	1159
279	450	1157
280	451	1154
281	452	1151
282	453	1148
283	454	1145
284	455	1142
285	456	1139
286	457	1137
287	458	1134
288	459	1131
289	460	1128
290	462	1125
291	463	1123
292	464	1120
293	465	1118
294	467	1116
295	468	1113
296	469	1111
297	470	1109
298	472	1107
299	473	1104
300	474	1102
301	475	1099
302	477	1097
303	478	1095
304	480	1094
305	481	1092
306	482	1089
307	484	1087
308	485	1085
309	486	1082
310	487	1080
311	488	1077
312	489	1074
313	490	1072
314	492	1070
315	493	1067
316	494	1065
317	496	1064
318	497	1062
319	498	1060
320	500	1058
321	501	1055
322	502	1053
323	503	1050
324	504	1048
325	505	1045
326	507	1044
327	509	1043
328	511	1042
329	512	1040
330	513	1038
331	514	1035
332	515	1033
333	517	1031
334	518	1028
335	519	1026
336	520	1024
337	521	1021
338	523	1020
339	524	1018
340	525	1016
341	526	1013
342	528	1011
343	529	1009
344	530	1007
345	531	1004
346	532	1002
347	533	1000
348	535	998
349	536	995
350	537	993
351	538	991
352	539	989
353	541	987
354	542	985
355	543	982
356	544	980
357	545	978
358	546	976
359	547	973
360	548	971
361	549	969
362	550	966
363	551	964
364	553	962
365	554	960
366	555	958
367	557	956
368	558	954
369	559	952
370	560	950
371	561	948
372	562	946
373	564	944
374	565	942
375	566	940
376	568	938
377	569	937
378	570	935
379	571	932
380	572	930
381	574	928
382	575	926
383	576	924
384	577	922
385	578	920
386	579	917
387	580	915
388	581	913
389	582	911
390	584	909
391	585	907
392	586	905
393	587	903
394	588	901
395	589	898
396	590	896
397	591	894
398	592	892
399	593	890
400	594	888
401	595	886
402	596	884
403	597	882
404	599	880
405	600	878
406	601	876
407	602	873
408	603	871
409	604	869
410	605	867
411	606	865
412	607	863
413	608	861
414	609	859
415	610	857
416	611	855
417	613	853
418	614	851
419	615	849
420	616	847
421	617	845
422	618	843
423	619	841
424	620	839
425	621	837
426	622	835
427	623	833
428	624	831
429	625	829
430	626	827
431	627	825
432	629	823
433	630	821
434	631	819
435	632	817
436	633	815
437	634	813
438	635	811
439	636	809
440	637	808
441	638	806
442	639	804
443	641	802
444	642	800
445	643	799
446	644	797
447	645	795
448	646	793
449	648	792
450	649	790
451	650	788
452	651	786
453	652	784
454	653	782
455	654	780
456	655	779
457	656	777
458	657	775
459	658	773
460	660	771
461	661	769
462	662	767
463	663	766
464	664	764
465	665	762
466	666	760
467	667	759
468	668	757
469	669	755
470	670	753
471	672	751
472	673	749
473	674	748
474	675	746
475	676	744
476	677	742
477	678	740
478	679	738
479	680	737
480	681	735
481	682	733
482	683	731
483	684	730
484	685	728
485	686	726
486	688	724
487	689	723
488	690	721
489	691	719
490	692	717
491	693	716
492	694	714
493	695	712
494	696	710
495	697	709
496	698	707
497	699	705
498	700	703
499	701	701
500	703	700
501	704	698
502	705	696
503	706	694
504	707	693
505	708	691
506	709	690
507	710	688
508	711	686
509	712	684
510	713	683
511	714	681
512	716	679
513	717	678
514	718	676
515	719	674
516	720	673
517	721	671
518	722	669
519	723	667
520	724	666
521	725	664
522	726	662
523	727	660
524	728	659
525	729	657
526	730	655
527	732	654
528	733	652
529	734	651
530	735	649
531	736	648
532	737	646
533	738	644
534	740	643
535	741	641
536	742	639
537	743	638
538	744	636
539	745	634
540	746	633
541	747	631
542	748	630
543	750	628
544	751	627
545	752	625
546	753	623
547	754	622
548	755	620
549	756	618
550	757	617
551	758	615
552	759	613
553	760	612
554	761	610
555	762	609
556	764	607
557	765	606
558	766	604
559	767	602
560	768	601
561	769	599
562	770	597
563	771	596
564	772	594
565	773	593
566	774	591
567	775	589
568	776	588
569	777	586
570	779	585
571	780	583
572	781	582
573	782	580
574	783	578
575	784	577
576	785	575
577	786	574
578	787	572
579	788	571
580	789	569
581	790	567
582	791	566
583	793	564
584	794	563
585	795	561
586	796	560
587	797	558
588	798	557
589	799	555
590	800	553
591	801	552
592	802	550
593	803	549
594	804	547
595	805	546
596	806	544
597	808	543
598	809	541
599	810	540
600	811	538
601	812	537
602	813	535
603	814	534
604	815	532
605	817	531
606	818	529
607	819	528
608	820	526
609	821	525
610	823	524
611	824	522
612	825	521
613	826	519
614	828	518
615	829	516
616	830	515
617	831	513
618	832	512
619	833	511
620	835	509
621	836	508
622	837	507
623	839	505
624	840	504
625	841	502
626	843	501
627	844	500
628	845	498
629	847	497
630	848	496
631	849	494
632	851	493
633	853	492
634	855	491
635	856	490
636	857	488
637	859	487
638	860	485
639	861	484
640	862	483
641	863	481
642	864	480
643	865	478
644	866	477
645	868	475
646	869	474
647	870	472
648	871	471
649	872	469
650	873	468
651	874	466
652	875	465
653	877	463
654	878	462
655	879	461
656	880	459
657	881	458
658	882	456
659	884	455
660	885	454
661	886	452
662	887	451
663	888	449
664	889	448
665	890	446
666	891	445
667	892	443
668	894	442
669	895	441
670	897	440
671	898	438
672	900	437
673	901	435
674	902	434
675	903	433
676	904	431
677	905	430
678	906	428
679	908	427
680	909	426
681	917	428
682	919	426
683	922	426
684	923	424
685	925	423
686	926	422
687	928	420
688	930	419
689	931	418
690	933	417
691	934	416
692	936	414
693	937	413
694	938	412
695	940	410
696	941	409
697	943	408
698	944	406
699	946	405
700	947	404
701	949	402
702	950	401
703	952	400
704	954	399
705	955	397
706	956	396
707	958	395
708	959	393
709	961	392
710	962	391
711	963	389
712	965	388
713	966	387
714	967	385
715	969	384
716	970	383
717	971	381
718	972	380
719	974	378
720	975	377
721	976	375
722	977	374
723	978	373
724	979	371
725	980	370
726	982	368
727	983	367
728	984	365
729	985	364
730	987	363
731	988	361
732	989	360
733	991	359
734	992	357
735	993	356
736	994	354
737	995	353
738	996	352
739	998	350
740	999	349
741	1000	347
742	1001	346
743	1002	344
744	1003	343
745	1004	342
746	1006	340
747	1007	339
748	1008	337
749	1009	336
750	1010	335
751	1011	333
752	1012	332
753	1013	330
754	1014	329
755	1015	327
756	1017	326
757	1018	325
758	1019	323
759	1020	322
760	1021	320
761	1022	319
762	1023	317
763	1024	316
764	1025	315
765	1026	313
766	1027	312
767	1028	310
768	1030	309
769	1031	308
770	1032	306
771	1033	305
772	1034	303
773	1035	302
774	1036	301
775	1037	299
776	1038	298
777	1039	296
778	1040	295
779	1042	293
780	1043	292
781	1044	291
782	1045	289
783	1046	288
784	1047	286
785	1048	285
786	1049	284
787	1050	282
788	1051	281
789	1052	279
790	1053	278
791	1054	277
792	1055	275
793	1057	274
794	1058	272
795	1059	271
796	1060	270
797	1061	268
798	1062	267
799	1063	265
800	1064	264
801	1065	263
802	1066	261
803	1067	260
804	1068	258
805	1070	257
806	1071	256
807	1072	254
808	1073	253
809	1074	252
810	1075	250
811	1076	249
812	1077	247
813	1078	246
814	1079	245
815	1080	243
816	1081	242
817	1082	240
818	1084	239
819	1085	238
820	1086	236
821	1087	235
822	1088	234
823	1089	232
824	1090	231
825	1091	229
826	1092	228
827	1093	227
828	1095	225
829	1096	224
830	1097	223
831	1098	221
832	1099	220
833	1100	219
834	1101	217
835	1102	216
836	1103	214
837	1104	213
838	1106	212
839	1107	210
840	1108	209
841	1109	208
842	1110	206
843	1111	205
844	1112	204
845	1113	202
846	1114	201
847	1115	199
848	1116	198
849	1117	197
850	1118	195
851	1119	194
852	1121	193
853	1122	191
854	1123	190
855	1124	189
856	1125	187
857	1126	186
858	1127	185
859	1128	183
860	1130	182
861	1131	181
862	1132	179
863	1133	178
864	1134	177
865	1135	175
866	1136	174
867	1137	172
868	1138	171
869	1139	170
870	1141	168
871	1142	167
872	1143	166
873	1144	164
874	1145	163
875	1146	162
876	1147	160
877	1148	159
878	1149	158
879	1150	156
880	1151	155
881	1152	154
882	1153	152
883	1154	151
884	1155	150
885	1156	148
886	1157	147
887	1159	146
888	1160	144
889	1161	143
890	1162	142
891	1163	140
892	1164	139
893	1165	138
894	1166	136
895	1167	135
896	1168	134
897	1169	132
898	1170	131
899	1171	130
900	1173	128
901	1174	127
902	1175	126
903	1176	124
904	1177	123
905	1178	122
906	1179	120
907	1181	119
908	1182	118
909	1183	117
910	1184	115
911	1185	114
912	1186	113
913	1188	111
914	1189	110
915	1190	109
916	1191	107
917	1192	106
918	1193	105
919	1194	103
920	1195	102
921	1196	101
922	1198	99
923	1199	98
924	1200	97
925	1201	96
926	1202	94
927	1203	93
928	1205	92
929	1206	90
930	1207	89
931	1208	88
932	1209	86
933	1211	85
934	1212	84
935	1213	82
936	1214	81
937	1215	80
938	1216	79
939	1217	77
940	1218	76
941	1220	75
942	1221	73
943	1222	72
944	1223	71
945	1224	69
946	1225	68
947	1226	67
948	1228	65
949	1229	64
950	1230	63
951	1231	62
952	1232	60
953	1233	59
954	1234	58
955	1235	56
956	1236	55
957	1238	54
958	1239	52
959	1240	51
960	1241	50
961	1243	49
962	1244	47
963	1245	46
964	1246	45
965	1247	43
966	1249	42
967	1250	41
968	1251	40
969	1252	38
970	1253	37
971	1254	36
